"name","synonym"
"Closer To The Heart","Closer To The Heart"
"We Die Young","We Die Young"
"21st Century (Digital Boy)","21st Century (Digital Boy)"
"Kool Thing","Kool Thing"
"Cat Scratch Fever","Cat Scratch Fever"
"Alison","Alison"
"Cola","Cola"
"Where I Come From","Where I Come From"
"Falling Apart","Falling Apart"
"Hollywood Forever Cemetery Sings","Hollywood Forever Cemetery Sings"
"Sovereign Light Café","Sovereign Light Café"
"Here With Me","Here With Me"
"Save You Tonight","Save You Tonight"
"Disco Inferno","Disco Inferno"
"Spanish Sahara","Spanish Sahara"
"Games People Play","Games People Play"
"Nothing","Nothing"
"There Goes My Baby","There Goes My Baby"
"The Flood","The Flood"
"Radioactive","Radioactive"
"You And Your Heart","You And Your Heart"
"Stuck In The Moment","Stuck In The Moment"
"One Way Or Another","One Way Or Another"
"Witchcraft","Witchcraft"
"Hair Of The Dog","Hair Of The Dog"
"Tudo é Possível","Tudo é Possível"
"Strife","Strife"
"Paper Doll","Paper Doll"
"Who I Am With You","Who I Am With You"
"Do My Thang","Do My Thang"
"Bravado","Bravado"
"A World Alone","A World Alone"
"Sherlock (Clue + Note)","Sherlock (Clue + Note)"
"Love Hurts","Love Hurts"
"Mine Would Be You","Mine Would Be You"
"Zumba","Zumba"
"Ugly Boy","Ugly Boy"
"I Always Knew","I Always Knew"
"Scene One - James Dean & Audrey Hepburn","Scene One - James Dean & Audrey Hepburn"
"Something Like Olivia","Something Like Olivia"
"Lucky Strike","Lucky Strike"
"Backseat Serenade","Backseat Serenade"
"It's Over When It's Over","It's Over When It's Over"
"Pianista da Rua 6","Pianista da Rua 6"
"Mi Negrita","Mi Negrita"
"I Am A God","I Am A God"
"Contact","Contact"
"Piano","Piano"
"Sol Loiro","Sol Loiro"
"Mary Jane (All Night Long)","Mary Jane (All Night Long)"
"Sex","Sex"
"Linoleum","Linoleum"
"Halftime","Halftime"
"Cornflake Girl","Cornflake Girl"
"Welcome To Japan","Welcome To Japan"
"Reggae Bom","Reggae Bom"
"Muito Cedo","Muito Cedo"
"Vai Baby","Vai Baby"
"I'm Different","I'm Different"
"Such Great Heights","Such Great Heights"
"Daydreamer","Daydreamer"
"Long Hot Summer","Long Hot Summer"
"Piloto Automático","Piloto Automático"
"She's Electric","She's Electric"
"Midlife Crisis","Midlife Crisis"
"Baby Came Home 2 / Valentines","Baby Came Home 2 / Valentines"
"Jam","Jam"
"When I'm Small","When I'm Small"
"Mouth for War","Mouth for War"
"Contigo En La Distancia","Contigo En La Distancia"
"Fearless","Fearless"
"You're All I Need","You're All I Need"
"In These Arms","In These Arms"
"Burnout","Burnout"
"Run","Run"
"Neighbors Know My Name","Neighbors Know My Name"
"Highway Star","Highway Star"
"For Emma","For Emma"
"Guardians Of Asgaard","Guardians Of Asgaard"
"Bye Bye","Bye Bye"
"All Nightmare Long","All Nightmare Long"
"Notion","Notion"
"Greatest Day","Greatest Day"
"Karma","Karma"
"Let It Be Me","Let It Be Me"
"Minha Felicidade","Minha Felicidade"
"Fuego","Fuego"
"Spiderwebs","Spiderwebs"
"Invicto","Invicto"
"Sirena","Sirena"
"Lights","Lights"
"Do It To Me","Do It To Me"
"Vindicated","Vindicated"
"Saturday Sun","Saturday Sun"
"Lança Perfume","Lança Perfume"
"Scarlet Begonias","Scarlet Begonias"
"The Blackest Day","The Blackest Day"
"Burning","Burning"
"Guitar Town","Guitar Town"
"My Destiny","My Destiny"
"Once","Once"
"Your Girlfriend","Your Girlfriend"
"Azul Da Cor Do Mar","Azul Da Cor Do Mar"
"The Day I Tried To Live","The Day I Tried To Live"
"Stay Away","Stay Away"
"Mandy","Mandy"
"Que Nem o Meu Cachorro","Que Nem o Meu Cachorro"
"Sleeping In My Car","Sleeping In My Car"
"Figure.09","Figure.09"
"Clarity","Clarity"
"Live Forever","Live Forever"
"Dangerous","Dangerous"
"Personal Jesus","Personal Jesus"
"Minerva","Minerva"
"People Are People","People Are People"
"I Don't Wanna Be Me","I Don't Wanna Be Me"
"Mr. Brownstone","Mr. Brownstone"
"Prototype","Prototype"
"Don't Answer Me","Don't Answer Me"
"Bad Habit","Bad Habit"
"Fantastic Voyage","Fantastic Voyage"
"On Fire","On Fire"
"Orange Colored Sky","Orange Colored Sky"
"How Come","How Come"
"Represent","Represent"
"Jazz (We've Got)","Jazz (We've Got)"
"Último Romance","Último Romance"
"Sola","Sola"
"Mercedes Benz","Mercedes Benz"
"I'm Eighteen","I'm Eighteen"
"Switch","Switch"
"Love Man","Love Man"
"Forever Young","Forever Young"
"I Get Lonely","I Get Lonely"
"Leave (Get Out)","Leave (Get Out)"
"Home","Home"
"Lucky","Lucky"
"Sehnsucht","Sehnsucht"
"Windows Down","Windows Down"
"Saudade Arregaça","Saudade Arregaça"
"Forever","Forever"
"Best Friend","Best Friend"
"Angeles","Angeles"
"Do I Have To Say The Words?","Do I Have To Say The Words?"
"Friction","Friction"
"Who We Are","Who We Are"
"Traffic In The Sky","Traffic In The Sky"
"Joyride","Joyride"
"Dirty Diana","Dirty Diana"
"Agarrala","Agarrala"
"(I Love You) For Sentimental Reasons","(I Love You) For Sentimental Reasons"
"Who Is It","Who Is It"
"Legalize It","Legalize It"
"Stargazer","Stargazer"
"Honey, I'm Home","Honey, I'm Home"
"Moving On","Moving On"
"Last Kiss","Last Kiss"
"Got To Give It Up","Got To Give It Up"
"Runaway","Runaway"
"Good Girls","Good Girls"
"I Can Change","I Can Change"
"Broken","Broken"
"Reverend","Reverend"
"Cudi Zone","Cudi Zone"
"Don't Give Up On Me","Don't Give Up On Me"
"The Name Of The Game","The Name Of The Game"
"Round Round","Round Round"
"Casa do Pai","Casa do Pai"
"Hino da Vitória","Hino da Vitória"
"The One","The One"
"Debonaire","Debonaire"
"Colorblind","Colorblind"
"Somebody","Somebody"
"Frick Park Market","Frick Park Market"
"Faster","Faster"
"Somos Novios","Somos Novios"
"Better Man","Better Man"
"Adrenalize","Adrenalize"
"All Night","All Night"
"Luna","Luna"
"Fireworks","Fireworks"
"Anywhere With You","Anywhere With You"
"All About Tonight","All About Tonight"
"She's Thunderstorms","She's Thunderstorms"
"Miss Right","Miss Right"
"Send Them Off!","Send Them Off!"
"For What It's Worth","For What It's Worth"
"Modern Day Cowboy","Modern Day Cowboy"
"Say You Like Me","Say You Like Me"
"This Velvet Glove","This Velvet Glove"
"Easily","Easily"
"Hurt","Hurt"
"Story","Story"
"Personal Jesus","Personal Jesus"
"Hey Stephen","Hey Stephen"
"Hellraiser","Hellraiser"
"Children","Children"
"Fight The Power","Fight The Power"
"Too Lost In You","Too Lost In You"
"Been You","Been You"
"By My Side","By My Side"
"So Yesterday","So Yesterday"
"Milu","Milu"
"Dia Especial","Dia Especial"
"Só Você e Eu","Só Você e Eu"
"Don't Tread On Me","Don't Tread On Me"
"Chariot","Chariot"
"Hol' Up","Hol' Up"
"A Moment Like This","A Moment Like This"
"I Belong To You","I Belong To You"
"Wrapped Around Your Finger","Wrapped Around Your Finger"
"Where Are You Now","Where Are You Now"
"Foolin'","Foolin'"
"K.O.","K.O."
"Paradinha","Paradinha"
"Piledriver Waltz","Piledriver Waltz"
"All That I've Got","All That I've Got"
"Raised By Wolves","Raised By Wolves"
"Headsprung","Headsprung"
"A Decade Under The Influence","A Decade Under The Influence"
"Dale Caliente","Dale Caliente"
"Walk Idiot Walk","Walk Idiot Walk"
"Trouble","Trouble"
"The Blister Exists","The Blister Exists"
"C'mere","C'mere"
"Fuck Me Pumps","Fuck Me Pumps"
"Birthday Cake","Birthday Cake"
"Brilliant Disguise","Brilliant Disguise"
"Madonna","Madonna"
"Somewhere In My Car","Somewhere In My Car"
"Good Hearted Woman","Good Hearted Woman"
"Titanium","Titanium"
"Superfly","Superfly"
"Given to Fly","Given to Fly"
"I'm Kissing You","I'm Kissing You"
"Fácil","Fácil"
"Look Thru My Eyes","Look Thru My Eyes"
"Whatever","Whatever"
"Escape","Escape"
"Orinoco Flow","Orinoco Flow"
"Sentimental","Sentimental"
"Spieluhr","Spieluhr"
"Butterflies","Butterflies"
"Heaven Knows","Heaven Knows"
"Higher Love","Higher Love"
"I Know Places","I Know Places"
"Everyday I Love You Less And Less","Everyday I Love You Less And Less"
"Views","Views"
"Keep The Family Close","Keep The Family Close"
"Every Breaking Wave","Every Breaking Wave"
"Aquemini","Aquemini"
"I Was Made To Love Her","I Was Made To Love Her"
"Donatella","Donatella"
"Rock Is Dead","Rock Is Dead"
"New Year's Day","New Year's Day"
"Gonna Love Ya","Gonna Love Ya"
"Ain't No Way","Ain't No Way"
"Fuckin' Wit' D","Fuckin' Wit' D"
"Saudade","Saudade"
"Oh Meu Deus","Oh Meu Deus"
"Follow Your Fire","Follow Your Fire"
"Needles","Needles"
"Flowers In The Window","Flowers In The Window"
"Lonely Eyes","Lonely Eyes"
"Postcards","Postcards"
"Called Out In The Dark","Called Out In The Dark"
"Worst Behavior","Worst Behavior"
"Tiptoe","Tiptoe"
"Blow My High (Members Only)","Blow My High (Members Only)"
"Tin Man","Tin Man"
"Don't Judge Me","Don't Judge Me"
"Sierra Leone","Sierra Leone"
"Adore U","Adore U"
"Mansae","Mansae"
"I Won't Let Go","I Won't Let Go"
"Is This It","Is This It"
"Depth Over Distance","Depth Over Distance"
"Too Bad","Too Bad"
"Te Dejo Madrid","Te Dejo Madrid"
"Xote da Alegria","Xote da Alegria"
"Going Through Changes","Going Through Changes"
"Forest","Forest"
"Emotion","Emotion"
"Hello","Hello"
"Réu Confesso","Réu Confesso"
"Viva Las Vegas","Viva Las Vegas"
"I Smile","I Smile"
"How Can I Tell Her","How Can I Tell Her"
"She Ain't You","She Ain't You"
"Acid Rain","Acid Rain"
"Things We Lost In The Fire","Things We Lost In The Fire"
"The Bitch Is Back","The Bitch Is Back"
"Spies","Spies"
"Speak Now","Speak Now"
"The Bleeding","The Bleeding"
"Believe","Believe"
"Multiplied","Multiplied"
"Peace","Peace"
"Crazy He Calls Me","Crazy He Calls Me"
"Subterranean Homesick Blues","Subterranean Homesick Blues"
"Breathing","Breathing"
"I Do, I Do, I Do, I Do, I Do","I Do, I Do, I Do, I Do, I Do"
"Fly By Night","Fly By Night"
"Monday Morning","Monday Morning"
"Everything Goes My Way","Everything Goes My Way"
"Beautiful Goodbye","Beautiful Goodbye"
"Oats In The Water","Oats In The Water"
"Mr. Jack","Mr. Jack"
"Carla","Carla"
"I Can","I Can"
"End Of All Hope","End Of All Hope"
"Perfect Imperfection","Perfect Imperfection"
"Fishing In The Dark","Fishing In The Dark"
"Say Goodbye Hollywood","Say Goodbye Hollywood"
"It Must Be Love","It Must Be Love"
"Way Away","Way Away"
"Delicate","Delicate"
"Yo Que No Vivo Sin Ti","Yo Que No Vivo Sin Ti"
"Isabel","Isabel"
"Tick Tick Boom","Tick Tick Boom"
"Soldier","Soldier"
"Telescope","Telescope"
"Mr. Simple","Mr. Simple"
"Above The Law","Above The Law"
"Half Time","Half Time"
"Help Is On The Way","Help Is On The Way"
"Papi","Papi"
"Sarah Smiles","Sarah Smiles"
"Another Night","Another Night"
"Misunderstood","Misunderstood"
"Precious Love","Precious Love"
"The National Anthem","The National Anthem"
"Serve The Servants","Serve The Servants"
"Hope Of Deliverance","Hope Of Deliverance"
"Keep The Faith","Keep The Faith"
"I Need You","I Need You"
"Awake My Soul","Awake My Soul"
"Bullet In The Head","Bullet In The Head"
"Too Young","Too Young"
"Pennyroyal Tea","Pennyroyal Tea"
"Spinning Around","Spinning Around"
"You Only Live Once","You Only Live Once"
"Save Me","Save Me"
"Whisky a Go-Go","Whisky a Go-Go"
"Shake Ya Ass","Shake Ya Ass"
"Any Time, Any Place","Any Time, Any Place"
"Drug Ballad","Drug Ballad"
"Dreamlover","Dreamlover"
"Parachutes","Parachutes"
"Break It Down Again","Break It Down Again"
"O Destino Não Quis","O Destino Não Quis"
"Gasoline","Gasoline"
"Ghost Town","Ghost Town"
"South Of Heaven","South Of Heaven"
"Oxford Comma","Oxford Comma"
"Causa Y Efecto","Causa Y Efecto"
"Duas da Tarde","Duas da Tarde"
"Mi Amor","Mi Amor"
"Un Beso de Desayuno","Un Beso de Desayuno"
"This Love","This Love"
"Overjoyed","Overjoyed"
"Rain","Rain"
"Creep","Creep"
"One Bourbon, One Scotch, One Beer","One Bourbon, One Scotch, One Beer"
"Tal Vez","Tal Vez"
"I Almost Do","I Almost Do"
"Straight Lines","Straight Lines"
"Bob Marley","Bob Marley"
"Pobre Diabla","Pobre Diabla"
"West Coast","West Coast"
"Fever","Fever"
"The Underdog","The Underdog"
"Made In The USA","Made In The USA"
"Ma City","Ma City"
"All I Do","All I Do"
"Manhattan","Manhattan"
"This I Love","This I Love"
"I Will","I Will"
"Why Won't They Talk To Me?","Why Won't They Talk To Me?"
"Bittersweet Tragedy","Bittersweet Tragedy"
"Lurk","Lurk"
"Big Brother","Big Brother"
"If You Were There, Beware","If You Were There, Beware"
"Realize","Realize"
"Long Road To Ruin","Long Road To Ruin"
"Dulce Locura","Dulce Locura"
"All I Need","All I Need"
"Anthem For The Underdog","Anthem For The Underdog"
"Don't Blink","Don't Blink"
"Scream","Scream"
"Innocence","Innocence"
"Jump","Jump"
"My Heart","My Heart"
"Move","Move"
"A Moment Like This","A Moment Like This"
"Gunslinger","Gunslinger"
"My Love","My Love"
"Don't Change","Don't Change"
"Electric Eye","Electric Eye"
"Gouge Away","Gouge Away"
"Heartbreaker","Heartbreaker"
"Shadows Of The Night","Shadows Of The Night"
"Il Regalo Più Grande","Il Regalo Più Grande"
"Oceano","Oceano"
"Just Like Jesse James","Just Like Jesse James"
"You","You"
"School","School"
"The Walk","The Walk"
"The Pride","The Pride"
"Disconnected","Disconnected"
"Constellations","Constellations"
"Under The Knife","Under The Knife"
"Mi Marciana","Mi Marciana"
"No Me Compares","No Me Compares"
"The Promise","The Promise"
"Un Poco de Amor","Un Poco de Amor"
"Quero Te Encontrar","Quero Te Encontrar"
"Writing On The Walls","Writing On The Walls"
"My Iron Lung","My Iron Lung"
"Samson","Samson"
"Copacabana (At the Copa)","Copacabana (At the Copa)"
"Always Where I Need To Be","Always Where I Need To Be"
"I Run To You","I Run To You"
"Lollipop","Lollipop"
"Get Out Alive","Get Out Alive"
"The Way You Make Me Feel","The Way You Make Me Feel"
"The One That You Love","The One That You Love"
"Wouldn't Get Far","Wouldn't Get Far"
"Temporal","Temporal"
"Bringin' On The Heartbreak","Bringin' On The Heartbreak"
"We Are","We Are"
"Emmylou","Emmylou"
"War Eternal","War Eternal"
"Until It Sleeps","Until It Sleeps"
"Jazzy Belle","Jazzy Belle"
"Beer","Beer"
"Coming Down","Coming Down"
"I Surrender","I Surrender"
"Garota Nacional","Garota Nacional"
"Hold On Tight","Hold On Tight"
"I'm Sorry","I'm Sorry"
"Vaivén","Vaivén"
"Till It Happens To You","Till It Happens To You"
"Outra Noite Que Se Vai","Outra Noite Que Se Vai"
"When Love And Hate Collide","When Love And Hate Collide"
"New Perspective","New Perspective"
"Closer To The Edge","Closer To The Edge"
"Perfectly Lonely","Perfectly Lonely"
"Till The Sky Falls Down","Till The Sky Falls Down"
"One Day","One Day"
"I Disappear","I Disappear"
"One Love","One Love"
"Give It 2 Me","Give It 2 Me"
"Dias Atrás","Dias Atrás"
"Trouble","Trouble"
"Lazy Afternoon","Lazy Afternoon"
"Bones","Bones"
"Into The Fire","Into The Fire"
"Vultures","Vultures"
"Sexy Robotica","Sexy Robotica"
"Small Town Southern Man","Small Town Southern Man"
"The Tide Is High","The Tide Is High"
"It's My House","It's My House"
"Four Out Of Five","Four Out Of Five"
"Angeleyes","Angeleyes"
"In the Flesh?","In the Flesh?"
"All My Life","All My Life"
"Y Yo Sigo Aqui","Y Yo Sigo Aqui"
"Nemesis","Nemesis"
"Another Saturday Night","Another Saturday Night"
"This Joint","This Joint"
"Call My Name","Call My Name"
"Broken","Broken"
"Religion","Religion"
"So Bad","So Bad"
"Down To The Waterline","Down To The Waterline"
"Ooh La La","Ooh La La"
"State Of Grace","State Of Grace"
"The Way It Was","The Way It Was"
"My Little Girl","My Little Girl"
"Ele Não Desiste de Você","Ele Não Desiste de Você"
"Love Like Woe","Love Like Woe"
"Back Down South","Back Down South"
"Take On Me","Take On Me"
"Song For Guy","Song For Guy"
"Come Over","Come Over"
"Little Sister","Little Sister"
"Lift Me Up","Lift Me Up"
"Dreams","Dreams"
"Breakdown","Breakdown"
"What He Wrote","What He Wrote"
"Bully","Bully"
"Other Side Of The World","Other Side Of The World"
"Higher","Higher"
"Attack","Attack"
"Colors","Colors"
"Scene Two - Roger Rabbit","Scene Two - Roger Rabbit"
"Til Kingdom Come","Til Kingdom Come"
"Burning Desire","Burning Desire"
"Attack","Attack"
"Without You","Without You"
"Disk Me","Disk Me"
"4 Walls","4 Walls"
"Lust For Life","Lust For Life"
"Give Me A Sign","Give Me A Sign"
"Break Your Little Heart","Break Your Little Heart"
"Natural Born Killer","Natural Born Killer"
"Sinais","Sinais"
"Who Knew","Who Knew"
"Sundown Syndrome","Sundown Syndrome"
"Monster","Monster"
"Spanish Guitar","Spanish Guitar"
"Wrong","Wrong"
"Parklife","Parklife"
"The Galway Girl","The Galway Girl"
"Gypsy","Gypsy"
"Coming of Age","Coming of Age"
"Carried Away","Carried Away"
"Dona","Dona"
"Vincent","Vincent"
"Summer Madness","Summer Madness"
"I Can't Help It","I Can't Help It"
"Cilada","Cilada"
"Favorite Girl","Favorite Girl"
"Feels Like Rain","Feels Like Rain"
"Not Fair","Not Fair"
"Who The Fuck Are Arctic Monkeys?","Who The Fuck Are Arctic Monkeys?"
"I Choose You","I Choose You"
"Maybellene","Maybellene"
"The Messenger","The Messenger"
"Folsom Prison Blues","Folsom Prison Blues"
"Computer Love","Computer Love"
"Black Suit","Black Suit"
"Stay","Stay"
"Lullabye (Goodnight, My Angel)","Lullabye (Goodnight, My Angel)"
"Very Ape","Very Ape"
"Livin' It Up","Livin' It Up"
"4ever","4ever"
"Jumpdafuckup","Jumpdafuckup"
"Last Name","Last Name"
"Philadelphia Freedom","Philadelphia Freedom"
"Friend, Please","Friend, Please"
"Whatever It Takes","Whatever It Takes"
"Eight Second Ride","Eight Second Ride"
"Million Dollar Bill","Million Dollar Bill"
"Weekend Wars","Weekend Wars"
"Sleep","Sleep"
"We Are One","We Are One"
"Home","Home"
"Say You'll Haunt Me","Say You'll Haunt Me"
"Quando Eu Chorar","Quando Eu Chorar"
"To Be Alone","To Be Alone"
"Miss Atomic Bomb","Miss Atomic Bomb"
"Es Tarde","Es Tarde"
"Não Deixe O Samba Morrer","Não Deixe O Samba Morrer"
"Don't Forget","Don't Forget"
"Catch The Rainbow","Catch The Rainbow"
"Esa Niña","Esa Niña"
"Clock Strikes","Clock Strikes"
"Crazy For You","Crazy For You"
"Rave On","Rave On"
"He Stopped Loving Her Today","He Stopped Loving Her Today"
"Come Together","Come Together"
"Sexy Lady","Sexy Lady"
"Andante, Andante","Andante, Andante"
"Let It Die","Let It Die"
"Lady In Black","Lady In Black"
"Nightingale","Nightingale"
"English Love Affair","English Love Affair"
"Temple","Temple"
"The Chamber","The Chamber"
"That Old Feeling","That Old Feeling"
"Blackened","Blackened"
"A Cera","A Cera"
"Qué Hago Yo","Qué Hago Yo"
"Sexed Up","Sexed Up"
"The Good Stuff","The Good Stuff"
"Demolition Lovers","Demolition Lovers"
"There Is","There Is"
"Just The Way You Are","Just The Way You Are"
"Quizás","Quizás"
"Are You What You Want to Be?","Are You What You Want to Be?"
"Nina","Nina"
"Miss Independent","Miss Independent"
"Honey Sweet","Honey Sweet"
"Chain Gang","Chain Gang"
"This Head I Hold","This Head I Hold"
"Dias Melhores","Dias Melhores"
"A Teenager's Romance","A Teenager's Romance"
"The Nobodies","The Nobodies"
"Things I'll Never Say","Things I'll Never Say"
"The Voice Within","The Voice Within"
"A Whisper","A Whisper"
"Wall To Wall","Wall To Wall"
"2nd Grade","2nd Grade"
"Danger Line","Danger Line"
"I'm Your Man","I'm Your Man"
"Future Days","Future Days"
"Brand New","Brand New"
"Survival","Survival"
"Date Rape","Date Rape"
"Finally Friday","Finally Friday"
"Poison & Wine","Poison & Wine"
"Waiting For My Ruca","Waiting For My Ruca"
"Long Live","Long Live"
"Andança","Andança"
"Once","Once"
"Toda Menina Baiana","Toda Menina Baiana"
"Fairground","Fairground"
"When I'm Gone","When I'm Gone"
"Sweet Annie","Sweet Annie"
"Universe","Universe"
"Unbreakable","Unbreakable"
"Anything Could Happen","Anything Could Happen"
"Furthest Thing","Furthest Thing"
"Treacherous","Treacherous"
"Herbalist","Herbalist"
"Wolf","Wolf"
"Slow It Down","Slow It Down"
"Pilot Jones","Pilot Jones"
"Shakin' Hands","Shakin' Hands"
"Blue Christmas","Blue Christmas"
"Grand Piano","Grand Piano"
"Hollywood Swinging","Hollywood Swinging"
"Black Treacle","Black Treacle"
"Subirusdoistiozin","Subirusdoistiozin"
"Bridge Burning","Bridge Burning"
"Express Yourself","Express Yourself"
"Not Alone","Not Alone"
"I'll Stick Around","I'll Stick Around"
"Perros Salvajes","Perros Salvajes"
"I Got Mine","I Got Mine"
"Love Will Remember","Love Will Remember"
"Adentro","Adentro"
"In The Heat Of The Night","In The Heat Of The Night"
"Fui","Fui"
"She's American","She's American"
"Sorry For Party Rocking","Sorry For Party Rocking"
"Little Bit","Little Bit"
"Love Walks In","Love Walks In"
"Promises","Promises"
"On Broadway","On Broadway"
"Lovesong","Lovesong"
"Angel Of Death","Angel Of Death"
"Cole World","Cole World"
"One Of Us","One Of Us"
"Blackbird","Blackbird"
"Love Street","Love Street"
"Hear Me Now","Hear Me Now"
"Aubrey","Aubrey"
"Love Faces","Love Faces"
"Élan","Élan"
"Your Love Is a Lie","Your Love Is a Lie"
"The Negative One","The Negative One"
"Go On","Go On"
"Someday Never Comes","Someday Never Comes"
"Play My Music","Play My Music"
"Ghosts","Ghosts"
"3 Peat","3 Peat"
"Dare (La La La)","Dare (La La La)"
"Holy Ground","Holy Ground"
"All American Nightmare","All American Nightmare"
"E-Pro","E-Pro"
"L.I.F.E.G.O.E.S.O.N.","L.I.F.E.G.O.E.S.O.N."
"The Wolves","The Wolves"
"Photograph","Photograph"
"King Nothing","King Nothing"
"Arlandria","Arlandria"
"The Wild Boys","The Wild Boys"
"Never Let You Go","Never Let You Go"
"Blow Up The Outside World","Blow Up The Outside World"
"Wishlist","Wishlist"
"Christ In Me","Christ In Me"
"Nirvana","Nirvana"
"Sometime Around Midnight","Sometime Around Midnight"
"Don't Move","Don't Move"
"White Blank Page","White Blank Page"
"Lotus Flower","Lotus Flower"
"Brendan's Death Song","Brendan's Death Song"
"You & The 6","You & The 6"
"Change Your Life","Change Your Life"
"Melt My Heart To Stone","Melt My Heart To Stone"
"Another World","Another World"
"Once Upon A Time In The West","Once Upon A Time In The West"
"Head Games","Head Games"
"Fire","Fire"
"California Dreamin'","California Dreamin'"
"Bros","Bros"
"The Crystal Ship","The Crystal Ship"
"Know","Know"
"Get Rhythm","Get Rhythm"
"Analua","Analua"
"Pure Grinding","Pure Grinding"
"Quieren","Quieren"
"Birch Tree","Birch Tree"
"What Went Down","What Went Down"
"So Cold","So Cold"
"Leave Before The Lights Come On","Leave Before The Lights Come On"
"Let It Go","Let It Go"
"Come Closer","Come Closer"
"Over You","Over You"
"Until The End","Until The End"
"Pintinho Amarelinho","Pintinho Amarelinho"
"Stadium Arcadium","Stadium Arcadium"
"Sometimes When We Touch","Sometimes When We Touch"
"Slow Cheetah","Slow Cheetah"
"Hard Rock Hallelujah","Hard Rock Hallelujah"
"Addicted","Addicted"
"Your Touch","Your Touch"
"Beleza Rara","Beleza Rara"
"Mama Said","Mama Said"
"I Might Be Wrong","I Might Be Wrong"
"Liquor","Liquor"
"Small Things","Small Things"
"Affirmative Action","Affirmative Action"
"We Own The Night","We Own The Night"
"Crooked Teeth","Crooked Teeth"
"I Never Told You","I Never Told You"
"Young Volcanoes","Young Volcanoes"
"Knives Out","Knives Out"
"Angry Again","Angry Again"
"Mrs. Cold","Mrs. Cold"
"You","You"
"Bliss","Bliss"
"Damien III","Damien III"
"My Stupid Mouth","My Stupid Mouth"
"You And Whose Army?","You And Whose Army?"
"Show You","Show You"
"Faust Arp","Faust Arp"
"This Calling","This Calling"
"Seasons In The Abyss","Seasons In The Abyss"
"A Place With No Name","A Place With No Name"
"Boy Division","Boy Division"
"We Will Rock You","We Will Rock You"
"Can't Stand Losing You","Can't Stand Losing You"
"Ours","Ours"
"Getting Away With Murder","Getting Away With Murder"
"Rotten Apple","Rotten Apple"
"Say Hello 2 Heaven","Say Hello 2 Heaven"
"Been Caught Stealing","Been Caught Stealing"
"Viajar Pelo Safari","Viajar Pelo Safari"
"Sure Shot","Sure Shot"
"Pieces Of Me","Pieces Of Me"
"Summertime","Summertime"
"Daddy Sang Bass","Daddy Sang Bass"
"Territorial Pissings","Territorial Pissings"
"Lounge Act","Lounge Act"
"Borderline","Borderline"
"Excursions","Excursions"
"Still Take You Home","Still Take You Home"
"Badlands","Badlands"
"Ex's And Oh's","Ex's And Oh's"
"Suicide Blonde","Suicide Blonde"
"Vulnerable","Vulnerable"
"Jackie Tequila","Jackie Tequila"
"I'm In It","I'm In It"
"Release","Release"
"Officer","Officer"
"Negative Creep","Negative Creep"
"Echoes","Echoes"
"The Night They Drove Old Dixie Down","The Night They Drove Old Dixie Down"
"Fuleragem","Fuleragem"
"Promise","Promise"
"Pork And Beans","Pork And Beans"
"20 de Enero","20 de Enero"
"Better Off This Way","Better Off This Way"
"Just Because","Just Because"
"Someone Like You","Someone Like You"
"The Race Is On","The Race Is On"
"Cut Your Hair","Cut Your Hair"
"If Everyone Cared","If Everyone Cared"
"Moon River","Moon River"
"Two Black Cadillacs","Two Black Cadillacs"
"Advice For The Young At Heart","Advice For The Young At Heart"
"Born and Raised","Born and Raised"
"Baby Be Mine","Baby Be Mine"
"Accetto Miracoli","Accetto Miracoli"
"Stranger Things Have Happened","Stranger Things Have Happened"
"Honeymoon","Honeymoon"
"Knocks Me Off My Feet","Knocks Me Off My Feet"
"Omerta","Omerta"
"Amazing","Amazing"
"Bedshaped","Bedshaped"
"My Prerogative","My Prerogative"
"Obviously","Obviously"
"100% Você","100% Você"
"Conquistando o Impossível","Conquistando o Impossível"
"Grão de Amor","Grão de Amor"
"I'd Rather Dance With You","I'd Rather Dance With You"
"There Goes My Life","There Goes My Life"
"Sometimes You Can't Make It On Your Own","Sometimes You Can't Make It On Your Own"
"The Bucket","The Bucket"
"You Look So Good In Love","You Look So Good In Love"
"No Reason","No Reason"
"Megalomaniac","Megalomaniac"
"Angel","Angel"
"Release","Release"
"Tell Her About It","Tell Her About It"
"Dangerous","Dangerous"
"The Kids Are Back","The Kids Are Back"
"Buggin' Out","Buggin' Out"
"Baby","Baby"
"On Call","On Call"
"The Pursuit Of Vikings","The Pursuit Of Vikings"
"Ela Me Faz","Ela Me Faz"
"Beija Eu","Beija Eu"
"Hong Kong Garden","Hong Kong Garden"
"Holier Than Thou","Holier Than Thou"
"O Green World","O Green World"
"No Other Way","No Other Way"
"Water Of Love","Water Of Love"
"I Wanna Love You Forever","I Wanna Love You Forever"
"I Don't Need A Man","I Don't Need A Man"
"Wisemen","Wisemen"
"Somebody Someone","Somebody Someone"
"Rock Bottom","Rock Bottom"
"Farol Das Estrelas","Farol Das Estrelas"
"Six Blade Knife","Six Blade Knife"
"Brain Damage","Brain Damage"
"Quien Eres Tu?","Quien Eres Tu?"
"Saturday Night","Saturday Night"
"Little By Little","Little By Little"
"Make Love","Make Love"
"Sad Statue","Sad Statue"
"An Honest Mistake","An Honest Mistake"
"Don't Love You No More (I'm Sorry)","Don't Love You No More (I'm Sorry)"
"L'amour Toujours","L'amour Toujours"
"Every Planet We Reach Is Dead","Every Planet We Reach Is Dead"
